city,state,country,faith,hiphop,latin,pop,rock
San Jose,CA,0.09805473963383335,0.0,0.4482486635748929,0.17655549992522415,0.46511503379164265,0.21212464869220998
Santa Ana,CA,0.0,0.17160324818767303,0.15883248958591467,0.7202083319786987,0.13286054001669614,0.5737372559852203
Silver Spring,MD,0.05294848761383297,0.0,0.2076496867545009,0.09311867250134921,0.19628471883896145,0.8033370755479641
Spokane,WA,0.06925719833076674,0.8307250344834738,0.08685524126455907,0.0,0.05580953785462791,0.4653475571279051
Springfield,MO,0.18053634574801802,0.2783827510033913,0.10291122361076693,0.0,0.0,0.13219848351609365
St Louis,MO,0.17014276479998255,0.4972335438640158,0.21910958352381146,0.0,0.29180994867392274,0.3293202938694415
St. Paul,MN,0.2434003022871157,0.07328127106603195,0.2802964326595154,0.0,0.3901764152856379,0.2766488074508529
Tampa,FL,0.5055243445692884,0.5074619126142103,0.5285054197823695,1.0,0.8912573177186888,0.7922040443432524
Tucson,AZ,0.06933116599174889,0.052829719050434015,0.08717385917088541,0.07982808060184793,0.1511090804231439,0.3399202224041236
Tulsa,OK,0.10758448902947848,0.5074619126142103,0.37617210087206904,0.0,0.9295686309622564,0.4644086244953712
