city,state,country,faith,hiphop,latin,pop,rock
Mesa,AZ,1.0,0.0,0.7371502320344894,0.0,0.8256034269709203,0.38547587665101457
Milwaukee,WI,0.18207908172214526,0.3000119275088112,0.4304930270848,0.007011504199184722,1.0,0.13609975414474051
Morrison,CO,0.479992773573863,0.0,0.9395868893058305,0.0,1.0,0.2575500157137131
New Orleans,LA,0.1784193146098935,0.29428222971518764,0.45184840878541366,0.0,1.0,0.25642974280532355
Norfolk,VA,0.8010600874691007,0.7044701147239654,0.8686594805729861,0.0,1.0,0.9422643193678564
Oakland,CA,1.0,0.0,0.629679936880929,0.2607202608414608,0.24668229790490312,0.07705033999378948
Oklahoma City,OK,0.6424704349322646,0.30238165935065603,0.738548135760624,0.0,1.0,0.2856082164193775
Omaha,NE,0.7304808742852671,0.8170088303739361,0.751180071942608,0.12452797927310982,1.0,0.304666201475153
Orlando,FL,0.3161337235911433,0.21500110208532122,0.4726765881195935,0.3479894814926556,1.0,0.2563939459105149
Phoenix,AZ,0.615161514475986,0.0556076810203736,1.0,0.7152515190849746,0.48106993199390463,0.24015706014549051
Pittsburgh,PA,0.3288805445420649,0.36863574417097533,0.9302641672179361,0.5403581283232982,1.0,0.15155639875052443
Raleigh,NC,0.5164457449189083,0.23881866974260696,1.0,0.15325959102792913,0.20069412019269098,0.21325561052696085
Richmond,VA,0.22078264244901075,0.0,1.0,0.0,0.6989340401580226,0.3678727449023076
Rosemont,IL,0.10796867317276561,0.22757106949410558,1.0,0.036279958933692076,0.896210807047356,0.0
Sacramento,CA,0.5994868554287497,0.4368748429731932,1.0,0.3472496516859921,0.7395043662969082,0.2893214743565342
San Antonio,TX,0.6098176182037149,0.3858032523258196,1.0,0.4414980108078928,0.7302821718435117,0.20133894781555114
San Jose,CA,0.2172468424411295,0.0,1.0,0.14296681009155185,0.9299327665136943,0.09793767932498337
Santa Ana,CA,0.0,0.14938652799219954,0.6075866489712266,1.0,0.45548603775629043,0.45421304948403335
Silver Spring,MD,0.2532364198025677,0.0,1.0,0.16277154113690445,0.8471598923705866,0.8006527635371263
Spokane,WA,0.36382660640940806,1.0,0.4594324665110298,0.0,0.26457222756270204,0.5094256001797729
Springfield,MO,1.0,0.3533384012399917,0.5739766283940989,0.0,0.0,0.1525933531442412
St Louis,MO,0.6461109487406156,0.43268037617984867,0.8378207314674437,0.0,1.0,0.26060689378280866
St. Paul,MN,0.6912797066440427,0.0476912662078424,0.8015790898163015,0.0,1.0,0.16373264884462516
Tampa,FL,0.6285396437290629,0.14457966603754774,0.6616619493003156,0.45442236167077266,1.0,0.20525863965728944
Tucson,AZ,0.5084305643903416,0.0887758036266676,0.643703000148134,0.21395770340098116,1.0,0.5194621866313468
Tulsa,OK,0.1282513398127649,0.1386209485316858,0.45153866674850857,0.0,1.0,0.11536825306139793
